feature,weight
number_of_nearby_restaurants,0.12386525003287567
number_of_bus_stops,-0.02174625967809821
number_of_MTR_stations,0.028845340089896837
number_of_schools,0.0010781560719974707
number_of_commercial_facilities,0.02389340374665611
number_of_government_facilities,0.030219463251631568
number_of_religious_facilities,0.0
number_of_medical_facilities,0.02370712107673817
number_of_hotel_facilities,-0.04671560324674976
mean_median_age,0.06637353015592069
median_hs_income,0.05453350299775481
mean_hs_size,-0.00021701045614740537
labour_force_percent,0.02017600013934676
chinese_percent,0.003412886471208533
pop_m_percent,-0.0256113640490991
ten_oc_percent,0.033607386983950736
rent_to_income_ratio,0.0010966449219307174
