feature,weight
number_of_nearby_restaurants,0.18176341567681706
number_of_bus_stops,-0.08239687193827912
number_of_MTR_stations,0.04836788720468154
number_of_schools,0.030992701767176816
number_of_commercial_facilities,-0.07046867904723234
number_of_government_facilities,-0.0014860693180725202
number_of_religious_facilities,0.0
number_of_medical_facilities,0.0398553814479783
number_of_hotel_facilities,-0.09820231440339489
mean_median_age,0.017585072604291846
median_hs_income,2.6479575299164e-05
mean_hs_size,-0.03662329676389384
labour_force_percent,-0.006572476912615393
chinese_percent,-0.014070325453498582
pop_m_percent,-0.0076599991478094025
ten_oc_percent,0.002976742656366357
rent_to_income_ratio,8.325473409007384e-05
